,policy_id,gender,living_status,age,safty_rating,high_education_ind
4,policy_3,M,own,65,56.0,1.0
7,policy_5,M,rent,60,74.0,1.0
8,policy_5,F,dependent,20,30.0,0.0
9,policy_5,F,dependent,16,29.0,0.0
10,policy_6,M,own,58,73.0,0.0
11,policy_6,M,dependent,17,74.0,0.0
12,policy_6,M,dependent,18,73.0,0.0
22,policy_11,F,rent,50,92.0,0.0
29,policy_15,M,own,46,46.0,0.0
30,policy_15,F,own,66,84.0,0.0
33,policy_17,M,own,44,76.0,0.0
34,policy_18,M,own,54,73.0,1.0
38,policy_20,M,own,61,95.0,1.0
39,policy_20,F,own,73,64.0,1.0
40,policy_20,F,dependent,17,82.0,0.0
41,policy_21,M,rent,45,70.0,0.0
42,policy_21,F,rent,94,65.0,1.0
43,policy_21,F,dependent,19,60.0,0.0
44,policy_21,M,dependent,16,47.0,0.0
45,policy_21,F,dependent,18,44.0,0.0
53,policy_26,M,own,71,45.0,0.0
54,policy_26,F,dependent,16,70.0,0.0
55,policy_26,F,dependent,18,76.0,0.0
56,policy_27,M,rent,62,92.0,0.0
57,policy_27,F,rent,40,74.0,1.0
58,policy_28,M,own,46,83.0,1.0
59,policy_28,F,dependent,18,61.0,0.0
67,policy_32,F,rent,48,62.0,1.0
70,policy_34,M,own,47,54.0,1.0
71,policy_35,M,own,53,84.0,0.0
72,policy_35,M,own,46,49.0,0.0
82,policy_40,M,rent,61,83.0,1.0
83,policy_40,F,rent,60,87.0,0.0
84,policy_40,F,dependent,18,71.0,0.0
85,policy_40,F,dependent,17,79.0,0.0
86,policy_41,F,dependent,17,38.0,0.0
87,policy_42,M,own,56,62.0,1.0
96,policy_47,F,dependent,17,74.0,0.0
97,policy_48,F,rent,54,54.0,1.0
98,policy_49,M,own,34,83.0,0.0
99,policy_49,F,own,57,74.0,1.0
100,policy_50,M,own,59,83.0,0.0
101,policy_50,M,own,53,71.0,1.0
102,policy_51,M,,30,70.0,1.0
103,policy_51,M,dependent,17,43.0,0.0
104,policy_51,M,dependent,16,66.0,0.0
105,policy_51,F,dependent,16,68.0,0.0
106,policy_52,M,own,55,75.0,0.0
107,policy_52,F,dependent,19,74.0,0.0
108,policy_52,F,dependent,18,83.0,0.0
109,policy_53,M,own,44,85.0,0.0
110,policy_54,F,dependent,16,47.0,0.0
111,policy_55,M,own,37,80.0,0.0
113,policy_57,M,own,45,65.0,1.0
114,policy_57,F,own,55,93.0,0.0
115,policy_57,M,dependent,20,64.0,0.0
116,policy_57,F,dependent,18,69.0,0.0
117,policy_57,F,dependent,17,75.0,0.0
118,policy_57,M,dependent,16,52.0,0.0
119,policy_58,M,rent,55,79.0,1.0
120,policy_58,M,rent,40,70.0,1.0
121,policy_59,M,own,67,72.0,0.0
122,policy_59,M,own,65,49.0,0.0
123,policy_59,F,dependent,17,58.0,0.0
124,policy_59,F,dependent,18,62.0,0.0
125,policy_60,M,own,55,89.0,0.0
126,policy_61,F,dependent,17,60.0,0.0
127,policy_62,M,own,52,74.0,1.0
128,policy_63,M,rent,61,79.0,1.0
137,policy_68,M,own,67,91.0,0.0
138,policy_68,F,own,38,83.0,0.0
139,policy_68,F,dependent,17,69.0,0.0
140,policy_68,M,dependent,19,58.0,0.0
142,policy_70,F,rent,36,81.0,0.0
143,policy_71,M,own,59,67.0,1.0
144,policy_71,F,dependent,18,70.0,0.0
145,policy_71,F,dependent,19,43.0,0.0
146,policy_71,M,dependent,18,63.0,0.0
147,policy_71,F,dependent,18,62.0,0.0
150,policy_73,M,rent,53,22.0,0.0
151,policy_73,F,rent,33,61.0,0.0
153,policy_75,F,dependent,20,64.0,0.0
154,policy_76,F,own,57,70.0,0.0
159,policy_79,M,rent,50,81.0,0.0
160,policy_79,F,rent,32,37.0,1.0
161,policy_79,M,dependent,21,54.0,0.0
165,policy_81,F,rent,49,90.0,1.0
166,policy_81,M,rent,27,72.0,0.0
167,policy_81,F,dependent,19,17.0,0.0
168,policy_82,M,own,31,93.0,0.0
169,policy_83,M,own,36,67.0,1.0
173,policy_85,M,dependent,18,41.0,0.0
174,policy_86,F,own,45,77.0,0.0
175,policy_86,F,own,54,54.0,0.0
176,policy_86,M,dependent,19,78.0,0.0
177,policy_86,M,dependent,17,67.0,0.0
178,policy_86,M,dependent,17,46.0,0.0
179,policy_87,F,own,40,91.0,1.0
180,policy_88,M,own,47,76.0,0.0
181,policy_88,F,dependent,16,52.0,0.0
182,policy_88,F,dependent,17,66.0,0.0
183,policy_88,F,dependent,17,68.0,0.0
184,policy_89,M,dependent,18,63.0,0.0
185,policy_90,F,rent,49,85.0,1.0
186,policy_90,F,dependent,16,86.0,0.0
191,policy_93,M,own,54,84.0,1.0
192,policy_93,F,dependent,18,90.0,0.0
