policy_id,discount,Home_policy_ind,quoted_amt,credit_score,Cov_package_type,CAT_zone,number_drivers,num_loaned_veh,num_owned_veh,num_leased_veh,total_number_veh,convert_ind,primary_parking,Quote_dt_2015,Quote_dt_2016,Quote_dt_2017,Quote_dt_2018,state_id_midwest,state_id_northeast,state_id_southeast,Prior_carrier_grp_Carrier_1,Prior_carrier_grp_Carrier_2,Prior_carrier_grp_Carrier_3,Prior_carrier_grp_Carrier_4,Prior_carrier_grp_Carrier_5,Prior_carrier_grp_Carrier_6,Prior_carrier_grp_Carrier_7,Prior_carrier_grp_Carrier_8,Prior_carrier_grp_Other
policy_87209,1,1,5153.0,1,3,2,2,1,2,0,3,0.0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_91413,0,0,3090.0,2,2,2,2,1,2,1,4,0.0,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0
policy_71845,0,0,14917.0,1,2,4,2,0,1,2,3,0.0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
policy_29027,0,0,4620.0,3,3,1,1,2,2,0,4,0.0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
policy_75562,0,0,11470.0,1,3,4,4,2,2,2,6,0.0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_37837,0,0,2566.0,2,2,2,1,1,1,0,2,0.0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
policy_10225,0,0,1779.0,4,1,2,3,2,1,1,4,0.0,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
policy_20593,0,0,2196.0,1,3,5,2,1,2,2,5,0.0,4,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
policy_45595,0,0,1636.0,4,1,2,1,1,1,0,2,1.0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
policy_57636,0,0,1061.0,4,3,5,5,0,2,0,2,0.0,2,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
policy_55787,0,0,2007.0,1,2,2,2,1,1,1,3,0.0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_39081,0,0,1346.0,4,1,4,4,0,2,1,3,0.0,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0
policy_96616,0,0,24111.0,1,2,4,4,0,2,0,2,0.0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0
policy_19021,0,0,4280.0,2,1,2,1,1,2,1,4,0.0,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
policy_41284,0,0,3897.0,4,3,3,2,3,2,0,5,0.0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
policy_16908,0,0,2694.0,2,3,2,1,2,3,2,7,0.0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
policy_50467,1,1,3941.0,1,2,2,3,0,1,0,1,1.0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
policy_60769,0,0,2171.0,2,2,3,2,1,2,0,3,0.0,4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0
policy_87337,0,0,5526.0,1,1,2,2,2,3,1,6,1.0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
policy_56476,0,0,2511.0,2,3,5,2,0,1,1,2,0.0,4,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0
policy_72866,1,1,3156.0,2,2,4,1,2,2,1,5,1.0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_3738,0,0,8368.0,1,2,3,2,1,1,0,2,0.0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_67127,0,0,5768.0,1,2,3,1,2,1,1,4,0.0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
policy_32420,0,0,13749.0,1,3,5,5,2,2,1,5,0.0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
policy_40429,1,0,1601.0,4,3,5,1,3,2,1,6,1.0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
policy_87329,0,0,4935.0,1,3,5,1,0,1,1,2,0.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
policy_65279,1,0,4080.0,2,2,3,3,2,2,0,4,0.0,4,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
policy_42771,1,1,404.0,4,1,1,5,1,1,1,3,1.0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
policy_32301,0,0,36255.0,1,3,5,2,2,3,0,5,0.0,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
policy_66797,1,1,2963.0,1,2,1,2,1,1,0,2,1.0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
policy_94970,1,1,6261.0,1,3,5,2,1,1,0,2,0.0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
policy_22736,0,0,5863.0,3,2,3,1,1,1,1,3,0.0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
policy_9941,1,1,4089.0,2,2,3,1,0,1,1,2,1.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
policy_91528,0,0,6670.0,1,3,5,2,0,1,0,1,0.0,2,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_83866,0,0,4564.0,4,2,1,3,1,3,2,6,0.0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
policy_93077,1,1,8214.0,1,3,5,2,1,2,0,3,0.0,4,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
policy_76738,0,0,8287.0,1,3,5,1,1,2,0,3,0.0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
policy_8261,1,1,797.0,4,1,2,2,0,3,2,5,1.0,4,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
policy_89221,1,0,9412.0,1,3,5,2,0,1,2,3,0.0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
policy_6120,0,0,2161.0,2,2,1,3,0,3,0,3,0.0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
policy_93989,0,0,9354.0,1,3,4,3,3,2,0,5,0.0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_30523,0,0,31281.0,1,3,4,3,1,2,0,3,0.0,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
policy_39173,1,1,544.0,4,1,4,3,2,1,0,3,0.0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
policy_94661,1,1,2334.0,1,2,4,3,1,3,2,6,0.0,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_74734,0,0,5167.0,1,2,3,1,1,1,1,3,0.0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
policy_23153,0,0,4076.0,2,2,2,3,3,2,0,5,0.0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
policy_99220,1,0,29558.0,1,3,1,1,1,1,0,2,0.0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0
policy_80960,0,0,8841.0,1,3,5,4,2,2,0,4,0.0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
policy_22585,0,0,3036.0,1,1,1,1,2,1,0,3,0.0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
policy_46230,0,0,1592.0,4,1,1,3,2,2,2,6,0.0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
policy_71299,0,0,14512.0,1,3,4,2,1,3,1,5,0.0,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
policy_95948,0,0,36696.0,1,3,5,2,1,1,0,2,0.0,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
policy_79448,0,0,2639.0,2,2,1,3,2,1,1,4,1.0,4,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0
policy_1405,0,0,7790.0,1,2,1,2,0,2,1,3,0.0,2,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
policy_3618,0,0,6319.0,1,3,4,1,1,2,0,3,0.0,4,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_4829,0,0,1436.0,4,2,4,3,0,1,0,1,0.0,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
policy_1844,0,0,2713.0,2,2,4,5,0,2,0,2,0.0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
policy_52587,0,0,2453.0,2,1,2,2,0,1,0,1,0.0,4,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
policy_98880,0,0,16251.0,1,3,4,4,2,3,0,5,0.0,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
policy_44229,0,0,1516.0,4,1,2,2,0,1,1,2,0.0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
policy_11050,0,0,892.0,4,1,1,1,1,2,1,4,1.0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
policy_36574,1,1,872.0,4,1,1,1,0,1,1,2,0.0,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
policy_54291,0,0,3182.0,1,2,3,1,1,2,0,3,0.0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_52921,0,0,2566.0,4,1,2,1,2,1,0,3,0.0,2,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
policy_39810,0,0,3374.0,2,3,1,1,1,1,0,2,0.0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
policy_82963,0,0,5466.0,2,2,2,1,1,1,0,2,0.0,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_34694,0,0,22601.0,1,3,5,1,2,1,0,3,0.0,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
policy_45289,0,0,1582.0,4,2,1,5,2,1,0,3,1.0,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
policy_69742,0,0,5087.0,1,2,3,1,2,1,1,4,0.0,4,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
policy_21902,0,0,2881.0,2,1,3,2,1,1,0,2,0.0,4,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0
policy_81065,0,0,7358.0,1,2,1,4,1,1,1,3,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
policy_72739,0,0,3818.0,2,2,2,1,1,1,1,3,0.0,3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
policy_15000,0,0,1935.0,3,1,2,3,3,3,0,6,0.0,4,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0
policy_84551,0,0,1325.0,4,1,3,2,2,1,1,4,0.0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
policy_2737,1,1,1016.0,4,1,1,1,1,1,1,3,1.0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
policy_6837,1,1,3902.0,2,2,2,1,0,1,0,1,0.0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
policy_43743,0,0,3720.0,1,2,2,1,1,2,1,4,0.0,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0
policy_35601,0,0,9165.0,1,2,3,2,0,3,0,3,0.0,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
policy_61070,0,0,8285.0,1,2,2,3,1,3,1,5,0.0,4,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
policy_16952,0,0,1403.0,4,1,2,1,1,1,1,3,1.0,3,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
policy_65298,0,0,2131.0,2,2,2,1,1,1,0,2,0.0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0
policy_20737,0,0,1720.0,4,1,5,1,3,2,0,5,0.0,4,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
policy_31140,1,1,18315.0,1,2,1,1,0,2,0,2,1.0,4,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
policy_96697,0,0,19464.0,1,3,1,3,1,2,0,3,0.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
policy_74937,0,0,4140.0,1,2,2,3,2,1,0,3,0.0,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
policy_37886,0,0,1387.0,4,2,3,1,0,2,0,2,0.0,4,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0
policy_56755,0,0,4670.0,2,1,1,1,1,1,1,3,0.0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_87478,0,0,10724.0,1,2,2,3,1,1,2,4,0.0,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_82048,0,0,5840.0,4,1,1,1,3,3,0,6,0.0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
policy_86511,0,0,5145.0,3,2,3,3,1,1,1,3,0.0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_99046,0,0,11693.0,1,3,1,3,1,1,2,4,0.0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0
policy_49969,0,0,5222.0,2,1,3,2,1,2,0,3,0.0,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
policy_43183,0,0,1445.0,3,3,5,1,1,2,1,4,1.0,4,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
policy_73983,0,0,7991.0,1,3,1,3,2,1,0,3,0.0,4,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_3028,0,0,4698.0,1,1,2,2,3,1,1,5,0.0,4,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
policy_36588,0,0,891.0,4,1,2,2,1,3,1,5,0.0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
