,Quote_dt,discount,Home_policy_ind,state_id,quoted_amt,Prior_carrier_grp,credit_score,Cov_package_type,CAT_zone,policy_id,number_drivers,num_loaned_veh,num_owned_veh,num_leased_veh,total_number_veh,convert_ind,primary_parking
1,2015-01-28,Yes,Y,NY,"$5,153",Carrier_1,613.0,High,2.0,policy_87209,2,1,2,0,3,0.0,home/driveway
3,2018-09-03,No,N,NY,"$3,090",Carrier_4,631.0,Medium,2.0,policy_91413,2,1,2,1,4,0.0,unknown
5,2016-05-18,No,N,NY,"$14,917",Carrier_3,602.0,Medium,4.0,policy_71845,2,0,1,2,3,0.0,unknown
6,2016-11-17,No,N,FL,"$4,620",Carrier_4,704.0,High,1.0,policy_29027,1,2,2,0,4,0.0,parking garage
7,2017-07-04,No,N,NY,"$11,470",Carrier_5,611.0,High,4.0,policy_75562,4,2,2,2,6,0.0,home/driveway
11,2017-12-25,No,N,MN,"$2,566",Carrier_1,668.0,Medium,2.0,policy_37837,1,1,1,0,2,0.0,unknown
12,2018-11-22,No,N,FL,"$1,779",Carrier_1,772.0,Low,2.0,policy_10225,3,2,1,1,4,0.0,unknown
14,2016-11-11,No,N,FL,"$2,196",Carrier_2,621.0,High,5.0,policy_20593,2,1,2,2,5,0.0,unknown
16,2018-10-07,No,N,NJ,"$1,636",Carrier_5,723.0,Low,2.0,policy_45595,1,1,1,0,2,1.0,unknown
17,2015-03-24,No,N,NJ,"$1,061",Carrier_4,773.0,High,5.0,policy_57636,5,0,2,0,2,0.0,parking garage
18,2016-07-01,No,N,NJ,"$2,007",Carrier_1,596.0,Medium,2.0,policy_55787,2,1,1,1,3,0.0,parking garage
20,2016-11-10,No,N,MN,"$1,346",Carrier_4,776.0,Low,4.0,policy_39081,4,0,2,1,3,0.0,unknown
21,2018-08-16,No,N,WI,"$24,111",Carrier_3,486.0,Medium,4.0,policy_96616,4,0,2,0,2,0.0,home/driveway
22,2015-01-27,No,N,FL,"$4,280",Carrier_8,656.0,Low,2.0,policy_19021,1,1,2,1,4,0.0,unknown
23,2016-09-12,No,N,NJ,"$3,897",Carrier_6,739.0,High,3.0,policy_41284,2,3,2,0,5,0.0,unknown
25,2015-07-01,No,N,FL,"$2,694",Carrier_2,638.0,High,2.0,policy_16908,1,2,3,2,7,0.0,unknown
26,2016-07-27,Yes,Y,NJ,"$3,941",Carrier_6,627.0,Medium,2.0,policy_50467,3,0,1,0,1,1.0,unknown
28,2018-05-21,No,N,NJ,"$2,171",Carrier_7,632.0,Medium,3.0,policy_60769,2,1,2,0,3,0.0,unknown
30,2015-03-15,No,N,NY,"$5,526",Carrier_3,616.0,Low,2.0,policy_87337,2,2,3,1,6,1.0,unknown
36,2018-07-07,No,N,NJ,"$2,511",Carrier_3,654.0,High,5.0,policy_56476,2,0,1,1,2,0.0,unknown
38,2016-11-02,Yes,Y,NY,"$3,156",Carrier_1,675.0,Medium,4.0,policy_72866,1,2,2,1,5,1.0,unknown
40,2016-04-24,No,N,CT,"$8,368",Carrier_5,553.0,Medium,3.0,policy_3738,2,1,1,0,2,0.0,home/driveway
41,2016-07-14,No,N,NY,"$5,768",Carrier_3,604.0,Medium,3.0,policy_67127,1,2,1,1,4,0.0,unknown
43,2016-04-15,No,N,GA,"$13,749",Carrier_7,594.0,High,5.0,policy_32420,5,2,2,1,5,0.0,unknown
44,2015-07-21,Yes,N,MN,"$1,601",Carrier_6,724.0,High,5.0,policy_40429,1,3,2,1,6,1.0,parking garage
45,2018-09-26,No,N,NY,"$4,935",Carrier_5,611.0,High,5.0,policy_87329,1,0,1,1,2,0.0,home/driveway
46,2018-01-13,Yes,N,NY,"$4,080",Carrier_2,635.0,Medium,3.0,policy_65279,3,2,2,0,4,0.0,unknown
47,2016-01-08,Yes,Y,NJ,$404,Carrier_6,784.0,Low,1.0,policy_42771,5,1,1,1,3,1.0,unknown
48,2015-01-05,No,N,GA,"$36,255",Carrier_1,542.0,High,5.0,policy_32301,2,2,3,0,5,0.0,parking garage
50,2015-06-21,Yes,Y,NY,"$2,963",Carrier_6,614.0,Medium,1.0,policy_66797,2,1,1,0,2,1.0,unknown
51,2016-10-17,Yes,Y,NY,"$6,261",Carrier_8,541.0,High,5.0,policy_94970,2,1,1,0,2,0.0,unknown
52,2018-01-17,No,N,FL,"$5,863",Other,693.0,Medium,3.0,policy_22736,1,1,1,1,3,0.0,home/driveway
54,2015-05-12,Yes,Y,FL,"$4,089",Other,664.0,Medium,3.0,policy_9941,1,0,1,1,2,1.0,home/driveway
55,2016-03-26,No,N,NY,"$6,670",Carrier_5,589.0,High,5.0,policy_91528,2,0,1,0,1,0.0,parking garage
56,2016-12-31,No,N,NY,"$4,564",Carrier_3,732.0,Medium,1.0,policy_83866,3,1,3,2,6,0.0,unknown
59,2017-07-10,Yes,Y,NY,"$8,214",Carrier_4,532.0,High,5.0,policy_93077,2,1,2,0,3,0.0,unknown
62,2018-07-04,No,N,NY,"$8,287",Carrier_5,585.0,High,5.0,policy_76738,1,1,2,0,3,0.0,unknown
63,2018-01-14,Yes,Y,FL,$797,Carrier_1,730.0,Low,2.0,policy_8261,2,0,3,2,5,1.0,unknown
66,2015-04-01,Yes,N,NY,"$9,412",Carrier_3,576.0,High,5.0,policy_89221,2,0,1,2,3,0.0,unknown
68,2015-05-09,No,N,CT,"$2,161",Carrier_7,653.0,Medium,1.0,policy_6120,3,0,3,0,3,0.0,unknown
71,2016-06-20,No,N,NY,"$9,354",Carrier_5,441.0,High,4.0,policy_93989,3,3,2,0,5,0.0,unknown
72,2015-06-17,No,N,GA,"$31,281",Carrier_5,480.0,High,4.0,policy_30523,3,1,2,0,3,0.0,unknown
73,2015-05-19,Yes,Y,MN,$544,Carrier_7,787.0,Low,4.0,policy_39173,3,2,1,0,3,0.0,parking garage
74,2017-11-10,Yes,Y,NY,"$2,334",Carrier_5,600.0,Medium,4.0,policy_94661,3,1,3,2,6,0.0,unknown
75,2016-03-27,No,N,NY,"$5,167",Carrier_8,616.0,Medium,3.0,policy_74734,1,1,1,1,3,0.0,street
76,2016-01-07,No,N,FL,"$4,076",Carrier_7,637.0,Medium,2.0,policy_23153,3,3,2,0,5,0.0,unknown
77,2016-11-26,Yes,N,WI,"$29,558",Carrier_2,554.0,High,1.0,policy_99220,1,1,1,0,2,0.0,home/driveway
78,2018-03-13,No,N,NY,"$8,841",Carrier_5,522.0,High,5.0,policy_80960,4,2,2,0,4,0.0,home/driveway
81,2016-12-02,No,N,FL,"$3,036",Carrier_7,549.0,Low,1.0,policy_22585,1,2,1,0,3,0.0,unknown
82,2016-09-07,No,N,NJ,"$1,592",Carrier_6,778.0,Low,1.0,policy_46230,3,2,2,2,6,0.0,unknown
83,2017-07-04,No,N,NY,"$14,512",Carrier_8,563.0,High,4.0,policy_71299,2,1,3,1,5,0.0,unknown
84,2015-08-18,No,N,WI,"$36,696",Carrier_1,582.0,High,5.0,policy_95948,2,1,1,0,2,0.0,street
85,2017-06-18,No,N,NY,"$2,639",Carrier_3,633.0,Medium,1.0,policy_79448,3,2,1,1,4,1.0,unknown
86,2016-04-18,No,N,AL,"$7,790",Carrier_4,600.0,Medium,1.0,policy_1405,2,0,2,1,3,0.0,parking garage
87,2017-12-29,No,N,CT,"$6,319",Carrier_5,587.0,High,4.0,policy_3618,1,1,2,0,3,0.0,unknown
88,2017-03-07,No,N,CT,"$1,436",Other,726.0,Medium,4.0,policy_4829,3,0,1,0,1,0.0,parking garage
89,2015-05-27,No,N,CT,"$2,713",Carrier_3,643.0,Medium,4.0,policy_1844,5,0,2,0,2,0.0,street
92,2015-01-11,No,N,NJ,"$2,453",Carrier_6,641.0,Low,2.0,policy_52587,2,0,1,0,1,0.0,unknown
93,2016-11-21,No,N,WI,"$16,251",Carrier_8,595.0,High,4.0,policy_98880,4,2,3,0,5,0.0,unknown
97,2016-03-01,No,N,NJ,"$1,516",Carrier_3,772.0,Low,2.0,policy_44229,2,0,1,1,2,0.0,unknown
99,2015-12-31,No,N,FL,$892,Carrier_2,765.0,Low,1.0,policy_11050,1,1,2,1,4,1.0,unknown
100,2017-10-14,Yes,Y,MN,$872,Carrier_8,746.0,Low,1.0,policy_36574,1,0,1,1,2,0.0,unknown
103,2016-12-13,No,N,NJ,"$3,182",Carrier_1,622.0,Medium,3.0,policy_54291,1,1,2,0,3,0.0,unknown
104,2016-04-23,No,N,NJ,"$2,566",Carrier_4,734.0,Low,2.0,policy_52921,1,2,1,0,3,0.0,parking garage
105,2016-03-11,No,N,MN,"$3,374",Carrier_1,684.0,High,1.0,policy_39810,1,1,1,0,2,0.0,unknown
106,2016-03-26,No,N,NY,"$5,466",Carrier_5,686.0,Medium,2.0,policy_82963,1,1,1,0,2,0.0,unknown
107,2015-04-24,No,N,GA,"$22,601",Carrier_3,580.0,High,5.0,policy_34694,1,2,1,0,3,0.0,unknown
108,2018-03-05,No,N,NJ,"$1,582",Carrier_1,803.0,Medium,1.0,policy_45289,5,2,1,0,3,1.0,unknown
109,2018-12-18,No,N,NY,"$5,087",Carrier_1,599.0,Medium,3.0,policy_69742,1,2,1,1,4,0.0,unknown
110,2018-02-22,No,N,FL,"$2,881",Carrier_7,665.0,Low,3.0,policy_21902,2,1,1,0,2,0.0,unknown
111,2015-01-16,No,N,NY,"$7,358",Carrier_5,531.0,Medium,1.0,policy_81065,4,1,1,1,3,0.0,unknown
112,2016-09-16,No,N,NY,"$3,818",Carrier_3,649.0,Medium,2.0,policy_72739,1,1,1,1,3,0.0,street
